iter	Passed	Remaining
0	57	57296
1	57	28757
2	57	19239
3	58	14480
4	58	11623
5	58	9715
6	58	8357
7	59	7334
8	59	6542
9	59	5900
10	59	5379
11	60	4946
12	60	4578
13	60	4266
14	60	3996
15	61	3758
16	61	3547
17	61	3361
18	61	3192
19	62	3042
20	62	2907
21	62	2782
22	62	2671
23	63	2567
24	63	2472
25	63	2383
26	63	2300
27	64	2225
28	64	2154
29	64	2088
30	64	2026
31	65	1968
32	65	1914
33	65	1863
34	65	1814
35	66	1768
36	66	1725
37	66	1685
38	66	1645
39	67	1608
40	67	1573
41	67	1540
42	67	1508
43	68	1477
44	68	1447
45	68	1419
46	68	1392
47	68	1366
48	69	1341
49	69	1317
50	69	1294
51	69	1272
52	70	1251
53	70	1230
54	70	1210
55	70	1191
56	70	1173
57	71	1155
58	71	1138
59	71	1121
60	71	1105
61	72	1089
62	72	1074
63	72	1059
64	72	1045
65	72	1031
66	73	1019
67	73	1006
68	73	994
69	73	981
70	74	970
71	74	958
72	74	946
73	74	935
74	75	925
75	75	914
76	75	904
77	75	894
78	75	884
79	76	875
80	76	866
81	76	857
82	76	847
83	76	839
84	77	830
85	77	822
86	77	814
87	77	806
88	78	798
89	78	790
90	78	783
91	78	776
92	78	769
93	79	770
94	80	763
95	80	756
96	80	749
97	80	743
98	81	737
99	81	731
100	81	724
101	81	718
102	81	712
103	82	707
104	82	701
105	82	695
106	82	690
107	82	685
108	83	679
109	83	674
110	83	669
111	83	664
112	84	659
113	84	654
114	84	650
115	84	645
116	84	641
117	85	636
118	85	632
119	85	627
120	85	623
121	86	619
122	86	614
123	86	610
124	86	606
125	86	602
126	87	599
127	87	595
128	87	591
129	87	587
130	88	583
131	88	580
132	88	576
133	88	572
134	88	569
135	89	566
136	89	562
137	89	559
138	89	556
139	89	552
140	90	549
141	90	546
142	90	543
143	90	540
144	91	537
145	91	534
146	91	531
147	91	528
148	91	525
149	92	522
150	92	519
151	92	516
152	92	513
153	92	510
154	93	508
155	93	505
156	93	502
157	93	499
158	94	497
159	94	495
160	94	492
161	94	490
162	94	487
163	95	485
164	95	482
165	95	480
166	95	478
167	96	475
168	96	473
169	96	470
170	96	468
171	96	466
172	97	463
173	97	461
174	97	459
175	97	457
176	97	455
177	98	453
178	98	450
179	98	448
180	98	446
181	98	444
182	99	442
183	99	440
184	99	438
185	99	437
186	100	435
187	100	433
188	100	431
189	100	429
190	100	427
191	101	425
192	101	423
193	101	421
194	101	420
195	101	418
196	102	416
197	102	414
198	102	413
199	102	411
200	103	409
201	103	408
202	103	406
203	103	404
204	103	403
205	104	401
206	104	399
207	104	398
208	104	396
209	105	395
210	105	393
211	105	392
212	105	390
213	106	389
214	106	387
215	106	386
216	106	384
217	106	383
218	107	381
219	107	380
220	107	378
221	107	377
222	107	375
223	108	374
224	108	373
225	108	371
226	108	370
227	108	368
228	109	367
229	109	366
230	109	364
231	109	363
232	110	362
233	110	361
234	110	359
235	110	358
236	110	357
237	111	355
238	111	354
239	111	353
240	111	352
241	112	350
242	112	349
243	112	348
244	112	347
245	112	345
246	113	344
247	113	343
248	113	342
249	113	341
250	114	340
251	114	339
252	114	337
253	114	336
254	114	335
255	115	334
256	115	333
257	115	332
258	115	331
259	115	329
260	116	329
261	116	328
262	116	326
