iter	Passed	Remaining
0	0	301
1	0	283
2	0	267
3	1	260
4	1	250
5	1	244
6	1	242
7	1	235
8	2	235
9	2	226
10	2	226
11	2	227
12	2	226
13	3	227
14	3	226
15	3	225
16	3	224
17	4	223
18	4	224
19	4	224
20	4	223
21	5	223
22	5	222
23	5	222
24	5	221
25	5	221
26	6	221
27	6	220
28	6	219
29	6	220
30	7	220
31	7	219
32	7	218
33	7	217
34	7	216
35	8	217
36	8	217
37	8	217
38	8	216
39	8	215
40	9	214
41	9	214
42	9	214
43	9	213
44	10	213
45	10	213
46	10	212
47	10	211
48	10	211
49	11	211
50	11	211
51	11	211
52	11	211
53	12	211
54	12	211
55	12	211
56	12	211
57	13	211
58	13	211
59	13	210
60	13	213
61	14	213
62	14	212
63	14	212
64	14	211
65	14	211
66	15	211
67	15	211
68	15	211
69	15	211
70	16	211
71	16	210
72	16	210
73	16	210
74	17	210
75	17	209
76	17	209
77	17	208
78	17	208
79	18	208
80	18	207
81	18	207
82	18	207
83	19	207
84	19	206
85	19	206
86	19	206
87	19	205
88	20	204
89	20	204
90	20	204
91	20	203
92	20	203
93	21	203
94	21	203
95	21	202
96	21	202
97	21	202
98	22	201
99	22	201
100	22	201
101	22	201
102	23	201
103	23	200
104	23	200
105	23	200
106	23	199
107	24	199
108	24	199
109	24	198
110	24	198
111	25	198
112	25	197
113	25	197
114	25	197
115	25	196
116	26	196
117	26	196
118	26	196
119	26	196
120	26	195
121	27	195
122	27	195
123	27	194
124	27	194
125	28	194
126	28	194
127	28	194
128	28	193
129	28	193
130	29	193
131	29	193
132	29	192
133	29	192
134	30	192
135	30	192
136	30	191
137	30	191
138	30	191
139	31	191
140	31	190
141	31	190
142	31	189
143	31	189
144	32	189
145	32	189
146	32	188
147	32	188
148	32	188
149	33	188
150	33	187
151	33	187
152	33	187
153	33	186
154	34	186
155	34	186
156	34	185
157	34	185
158	35	185
159	35	185
160	35	185
161	35	184
162	35	184
163	36	184
164	36	184
165	36	183
166	36	183
167	36	183
168	37	182
169	37	182
170	37	182
171	37	181
172	37	181
173	38	181
174	38	181
175	38	181
176	38	181
177	39	180
178	39	180
179	39	180
180	39	180
181	40	180
182	40	179
183	40	179
184	40	179
185	40	179
186	41	179
187	41	178
188	41	178
189	41	178
190	42	178
191	42	178
192	42	178
193	42	177
194	43	177
195	43	177
196	43	177
197	43	177
198	43	176
199	44	176
200	44	176
201	44	176
202	44	176
203	45	175
204	45	175
205	45	175
206	45	174
207	45	174
208	46	174
209	46	174
210	46	174
211	46	173
212	46	173
213	47	173
214	47	173
215	47	172
216	47	172
217	48	172
218	48	172
219	48	171
220	48	171
221	48	171
222	49	170
223	49	170
224	49	170
225	49	170
226	49	169
227	50	169
228	50	169
229	50	169
230	50	168
231	50	168
232	51	168
233	51	168
234	51	167
235	52	168
236	52	168
237	52	168
238	52	168
239	53	168
240	53	168
241	53	167
242	53	167
243	54	167
244	54	167
245	54	166
246	54	166
247	54	166
248	55	166
249	55	166
250	55	166
251	55	165
252	56	165
253	56	165
254	56	165
255	56	164
256	56	164
257	57	164
258	57	164
259	57	163
260	57	163
261	57	163
262	58	163
263	58	163
264	58	162
265	58	162
266	59	162
267	59	162
268	59	161
269	59	161
270	59	161
271	60	160
272	60	160
273	60	160
274	60	160
275	60	159
276	61	159
277	61	159
278	61	159
279	61	159
280	62	158
281	62	158
282	62	158
283	62	158
284	62	157
285	63	157
286	63	157
287	63	157
288	63	156
289	63	156
290	64	156
291	64	156
292	64	155
293	64	155
294	65	155
295	65	155
296	65	154
297	65	154
298	65	154
299	66	154
300	66	153
301	66	153
302	66	153
303	66	153
304	67	152
305	67	152
306	67	152
307	67	152
308	67	151
309	68	151
310	68	151
311	68	151
312	68	150
313	68	150
314	69	150
315	69	150
316	69	150
317	69	149
318	70	149
319	70	149
320	70	149
321	70	149
322	71	148
323	71	148
324	71	148
325	71	148
326	71	147
327	72	147
328	72	147
329	72	147
330	72	147
331	72	146
332	73	146
333	73	146
334	73	146
335	73	145
336	74	145
337	74	145
338	74	145
339	74	145
340	74	144
341	75	144
342	75	144
343	75	144
344	75	143
345	76	143
346	76	143
347	76	143
348	76	143
349	76	142
350	77	142
351	77	142
352	77	142
353	77	141
354	77	141
355	78	141
356	78	141
357	78	141
358	78	140
359	79	140
360	79	140
361	79	140
362	79	139
363	79	139
364	80	139
365	80	139
366	80	138
367	80	138
368	81	138
369	81	138
370	81	138
371	81	137
372	81	137
373	82	137
374	82	137
375	82	137
376	82	136
377	83	136
378	83	136
379	83	136
380	83	135
381	83	135
382	84	135
383	84	135
384	84	135
385	84	134
386	84	134
387	85	134
388	85	134
389	85	133
390	85	133
391	86	133
392	86	133
393	86	132
394	86	132
395	86	132
396	87	132
397	87	132
398	87	131
399	87	131
400	88	131
401	88	131
402	88	131
403	88	130
404	88	130
405	89	130
406	89	130
407	89	130
408	89	129
409	90	129
410	90	129
411	90	129
412	90	129
413	90	128
414	91	128
415	91	128
416	91	128
417	91	127
418	92	127
419	92	127
420	92	127
421	92	127
422	92	126
423	93	126
424	93	126
425	93	126
426	93	125
427	94	125
428	94	125
429	94	125
430	94	124
431	94	124
432	95	124
433	95	124
434	95	124
435	95	123
436	95	123
437	96	123
438	96	123
439	96	122
440	96	122
441	96	122
442	97	122
443	97	121
444	97	121
445	97	121
446	98	121
447	98	121
448	98	120
449	98	120
450	98	120
451	99	120
452	99	119
453	99	119
454	99	119
455	100	119
456	100	119
457	100	118
458	100	118
459	100	118
460	101	118
461	101	118
462	101	117
463	101	117
464	101	117
465	102	117
466	102	116
467	102	116
468	102	116
469	103	116
470	103	115
471	103	115
472	103	115
473	103	115
474	104	115
475	104	114
476	104	114
477	104	114
478	104	114
479	105	113
480	105	113
481	105	113
482	105	113
483	106	113
484	106	112
485	106	112
486	106	112
487	106	112
488	107	111
489	107	111
490	107	111
491	107	111
492	108	111
493	108	110
494	108	110
495	108	110
496	108	110
497	109	110
498	109	109
499	109	109
500	109	109
501	110	109
502	110	108
503	110	108
504	110	108
505	110	108
506	111	107
507	111	107
508	111	107
509	111	107
510	111	107
511	112	106
512	112	106
513	112	106
514	112	106
515	113	106
516	113	105
517	113	105
518	113	105
519	113	105
520	114	104
521	114	104
522	114	104
523	114	104
524	114	104
525	115	103
526	115	103
527	115	103
528	115	103
529	116	102
530	116	102
531	116	102
532	116	102
533	116	102
534	117	101
535	117	101
536	117	101
537	117	101
538	117	100
539	118	100
540	118	100
541	118	100
542	118	100
543	119	99
544	119	99
545	119	99
546	119	99
547	120	99
548	120	98
549	120	98
550	120	98
551	120	98
552	121	97
553	121	97
554	121	97
555	121	97
556	122	97
557	122	96
558	122	96
559	122	96
560	122	96
561	123	95
562	123	95
563	123	95
564	123	95
565	123	95
566	124	94
567	124	94
568	124	94
569	124	94
570	125	93
571	125	93
572	125	93
573	125	93
574	125	93
575	126	92
576	126	92
577	126	92
578	126	92
579	127	91
580	127	91
581	127	91
582	127	91
583	127	91
584	128	90
585	128	90
586	128	90
587	128	90
588	128	89
589	129	89
590	129	89
591	129	89
592	129	89
593	130	88
594	130	88
595	130	88
596	130	88
597	130	87
598	131	87
599	131	87
600	131	87
601	131	87
602	131	86
603	132	86
604	132	86
605	132	86
606	132	85
607	132	85
608	133	85
609	133	85
610	133	85
611	133	84
612	134	84
613	134	84
614	134	84
615	134	83
616	134	83
617	135	83
618	135	83
619	135	83
620	135	82
621	136	82
622	136	82
623	136	82
624	136	82
625	136	81
626	137	81
627	137	81
628	137	81
629	137	80
630	138	80
631	138	80
632	138	80
633	138	80
634	138	79
635	139	79
636	139	79
637	139	79
638	139	78
639	139	78
640	140	78
641	140	78
642	140	78
643	140	77
644	141	77
645	141	77
646	141	77
647	141	77
648	142	76
649	142	76
650	142	76
651	142	76
652	142	75
653	143	75
654	143	75
655	143	75
656	143	75
657	144	74
658	144	74
659	144	74
660	144	74
661	144	73
662	145	73
663	145	73
664	145	73
665	145	73
666	145	72
667	146	72
668	146	72
669	146	72
670	146	71
671	147	71
672	147	71
673	147	71
674	147	71
675	147	70
676	148	70
677	148	70
678	148	70
679	148	69
680	148	69
681	149	69
682	149	69
683	149	69
684	149	68
685	149	68
686	150	68
687	150	68
688	150	67
689	150	67
690	151	67
691	151	67
692	151	67
693	151	66
694	151	66
695	152	66
696	152	66
697	152	66
698	152	65
699	152	65
700	153	65
701	153	65
702	153	64
703	153	64
704	154	64
705	154	64
706	154	63
707	154	63
708	154	63
709	155	63
710	155	63
711	155	62
712	155	62
713	155	62
714	156	62
715	156	62
716	156	61
717	156	61
718	156	61
719	157	61
720	157	60
721	157	60
722	157	60
723	158	60
724	158	60
725	158	59
726	158	59
727	158	59
728	159	59
729	159	58
730	159	58
731	159	58
732	159	58
733	160	58
734	160	57
735	160	57
736	160	57
737	161	57
738	161	56
739	161	56
740	161	56
741	161	56
742	162	56
743	162	55
744	162	55
745	162	55
746	162	55
747	163	54
748	163	54
749	163	54
750	163	54
751	163	54
752	164	53
753	164	53
754	164	53
755	164	53
756	165	52
757	165	52
758	165	52
759	165	52
760	165	52
761	166	51
762	166	51
763	166	51
764	166	51
765	167	51
766	167	50
767	167	50
768	167	50
769	167	50
770	168	49
771	168	49
772	168	49
773	168	49
774	168	49
775	169	48
776	169	48
777	169	48
778	169	48
779	170	47
780	170	47
781	170	47
782	170	47
783	170	47
784	171	46
785	171	46
786	171	46
787	171	46
788	171	45
789	172	45
790	172	45
791	172	45
792	172	45
793	173	44
794	173	44
795	173	44
796	173	44
797	173	44
798	174	43
799	174	43
800	174	43
801	174	43
802	174	42
803	175	42
804	175	42
805	175	42
806	175	42
807	176	41
808	176	41
809	176	41
810	176	41
811	176	40
812	177	40
813	177	40
814	177	40
815	177	40
816	177	39
817	178	39
818	178	39
819	178	39
820	178	38
821	179	38
822	179	38
823	179	38
824	179	38
825	179	37
826	180	37
827	180	37
828	180	37
829	180	37
830	180	36
831	181	36
832	181	36
833	181	36
834	181	35
835	181	35
836	182	35
837	182	35
838	182	35
839	182	34
840	183	34
841	183	34
842	183	34
843	183	33
844	183	33
845	184	33
846	184	33
847	184	33
848	184	32
849	185	32
850	185	32
851	185	32
852	185	32
853	185	31
854	186	31
855	186	31
856	186	31
857	186	30
858	187	30
859	187	30
860	187	30
861	187	30
862	187	29
863	188	29
864	188	29
865	188	29
866	188	28
867	189	28
868	189	28
869	189	28
870	189	28
871	189	27
872	190	27
873	190	27
874	190	27
875	190	27
876	191	26
877	191	26
878	191	26
879	191	26
880	191	25
881	192	25
882	192	25
883	192	25
884	192	25
885	192	24
886	193	24
887	193	24
888	193	24
889	193	23
890	194	23
891	194	23
892	194	23
893	194	23
894	194	22
895	195	22
896	195	22
897	195	22
898	195	21
899	196	21
900	196	21
901	196	21
902	196	21
903	196	20
904	197	20
905	197	20
906	197	20
907	197	20
908	197	19
909	198	19
910	198	19
911	198	19
912	198	18
913	199	18
914	199	18
915	199	18
916	199	18
917	199	17
918	200	17
919	200	17
920	200	17
921	200	16
922	201	16
923	201	16
924	201	16
925	201	16
926	201	15
927	202	15
928	202	15
929	202	15
930	202	15
931	202	14
932	203	14
933	203	14
934	203	14
935	203	13
936	204	13
937	204	13
938	204	13
939	204	13
940	204	12
941	205	12
942	205	12
943	205	12
944	205	11
945	205	11
946	206	11
947	206	11
948	206	11
949	206	10
950	207	10
951	207	10
952	207	10
953	207	10
954	207	9
955	208	9
956	208	9
957	208	9
958	208	8
959	208	8
960	209	8
961	209	8
962	209	8
963	209	7
964	210	7
965	210	7
966	210	7
967	210	6
968	210	6
969	211	6
970	211	6
971	211	6
972	211	5
973	212	5
974	212	5
975	212	5
976	212	5
977	213	4
978	213	4
979	213	4
980	213	4
981	213	3
982	214	3
983	214	3
984	214	3
985	214	3
986	214	2
987	215	2
988	215	2
989	215	2
990	215	1
991	216	1
992	216	1
993	216	1
994	216	1
995	217	0
996	217	0
997	217	0
998	217	0
999	217	0
