iter	Passed	Remaining
0	57	57751
1	58	28994
2	58	19394
3	58	14594
4	58	11719
5	59	9799
6	59	8429
7	59	7401
8	59	6600
9	60	5951
10	60	5431
11	60	4995
12	60	4626
13	61	4309
14	61	4034
15	61	3793
16	61	3579
17	62	3391
18	62	3221
19	62	3068
20	62	2931
21	63	2804
22	63	2691
23	63	2585
24	63	2488
25	64	2400
26	64	2317
27	64	2240
28	64	2168
29	64	2101
30	65	2039
31	65	1980
32	65	1925
33	65	1874
34	66	1824
35	66	1778
36	66	1734
37	66	1693
38	67	1654
39	67	1616
40	67	1581
41	67	1547
42	68	1514
43	68	1483
44	68	1453
45	68	1425
46	68	1397
47	69	1371
48	69	1347
49	69	1323
50	69	1300
51	70	1278
52	70	1256
53	70	1236
54	70	1216
55	71	1197
56	71	1179
57	71	1160
58	71	1143
59	71	1126
60	72	1110
61	72	1094
62	72	1079
63	72	1064
64	73	1050
65	73	1036
66	73	1022
67	73	1009
68	73	997
69	74	984
70	74	972
71	74	961
72	74	949
73	75	939
74	75	928
75	75	917
76	75	907
77	75	897
78	76	888
79	76	879
80	76	869
81	76	860
82	77	851
83	77	843
84	77	834
85	77	826
86	77	818
87	78	810
88	78	802
89	78	795
90	78	787
91	79	780
92	79	772
93	79	765
94	79	758
95	79	752
96	80	745
97	80	739
98	80	733
99	80	726
100	80	720
101	81	714
102	81	708
103	81	703
104	81	697
105	82	692
106	82	686
107	82	681
108	82	676
109	82	670
110	83	665
111	83	660
112	83	656
113	83	651
114	84	647
115	84	642
116	84	637
117	84	633
118	84	629
119	85	624
120	85	620
121	85	616
122	85	612
123	86	608
124	86	604
125	86	600
126	86	596
127	86	592
128	87	588
129	87	584
130	87	581
131	87	577
132	88	573
133	88	570
134	88	567
135	88	563
136	88	560
137	89	556
138	89	553
139	89	550
140	89	546
141	89	543
142	90	540
143	90	537
144	90	534
145	90	531
146	91	528
147	91	525
148	91	522
149	91	519
150	91	516
151	92	513
152	92	511
153	92	507
154	92	505
155	92	502
156	93	499
157	93	497
158	93	494
159	93	492
160	93	489
161	94	487
162	94	484
163	94	482
164	94	479
165	95	477
166	95	475
167	95	472
168	95	470
169	95	467
170	96	465
171	96	463
172	96	461
173	96	458
174	96	456
175	97	454
176	97	452
177	97	450
178	97	448
179	97	446
180	98	444
181	98	442
182	98	440
183	98	438
184	99	436
185	99	434
186	99	432
187	99	430
188	99	428
189	100	426
190	100	424
191	100	422
192	100	421
193	100	419
194	101	417
195	101	415
196	101	413
197	101	412
198	102	410
199	102	408
200	102	407
201	102	405
202	102	403
203	103	402
204	103	400
205	103	398
206	103	397
207	103	395
208	104	394
209	104	392
210	104	390
211	104	389
212	105	388
213	105	386
214	105	385
215	105	383
216	106	382
217	106	380
218	106	379
219	106	378
220	106	376
221	107	375
222	107	373
223	107	372
224	107	371
225	107	369
226	108	368
227	108	366
228	108	365
229	108	364
230	109	362
231	109	361
232	109	360
233	109	358
234	109	357
235	110	356
236	110	355
237	110	354
238	110	352
239	111	351
240	111	350
241	111	349
242	111	347
243	111	346
244	112	345
245	112	344
246	112	342
247	112	341
248	112	340
249	113	339
250	113	338
251	113	336
252	113	335
253	113	334
254	114	333
255	114	332
256	114	331
257	114	330
258	115	329
259	115	328
260	115	327
261	115	325
262	115	324
263	116	323
264	116	322
265	116	321
266	116	320
267	116	319
268	117	318
269	117	317
270	117	316
271	117	315
272	118	314
273	118	313
274	118	312
275	118	311
276	118	310
277	119	309
278	119	308
279	119	307
280	119	306
281	120	305
282	120	304
283	120	303
284	120	302
285	120	301
286	121	300
287	121	299
288	121	299
289	121	298
290	122	297
291	122	296
292	122	295
293	122	294
294	122	293
295	123	292
296	123	292
297	123	291
298	123	290
299	124	289
300	124	288
301	124	287
302	124	286
303	124	285
304	125	285
305	125	284
306	125	283
307	125	282
308	125	281
309	126	280
310	126	279
311	126	279
312	126	278
313	127	277
314	127	276
315	127	275
316	127	274
317	127	274
318	128	273
319	128	272
320	128	271
321	128	270
322	128	270
323	129	269
324	129	268
325	129	267
326	129	267
327	129	266
328	130	265
329	130	264
330	130	263
331	130	263
332	131	262
333	131	261
334	131	260
335	131	260
336	131	259
337	132	258
338	132	258
339	132	257
340	132	256
341	133	256
342	133	255
343	133	254
344	133	253
345	133	253
346	134	252
347	134	251
348	134	251
349	134	250
350	135	249
351	135	249
352	135	248
353	135	247
354	135	246
355	136	246
356	136	245
357	136	244
358	136	244
359	136	243
360	137	242
361	137	242
362	137	241
363	137	240
364	137	239
365	138	239
366	138	238
367	138	237
368	138	237
369	138	236
370	139	236
371	139	235
372	139	234
373	139	234
374	140	233
375	140	232
376	140	232
377	140	231
378	140	230
379	141	230
380	141	229
381	141	229
382	141	228
383	142	227
384	142	227
385	142	226
386	142	226
387	142	225
388	143	224
389	143	224
390	143	223
391	143	223
392	144	222
393	144	221
394	144	221
395	144	220
396	144	220
397	145	219
398	145	218
399	145	218
400	145	217
401	146	217
402	146	216
403	146	216
404	146	215
405	146	214
406	147	214
407	147	213
408	147	213
409	147	212
410	148	212
411	148	211
412	148	210
413	148	210
414	148	209
415	149	209
416	149	208
417	149	208
418	149	207
419	150	207
420	150	206
421	150	206
422	150	205
423	150	205
424	151	204
425	151	203
426	151	203
427	151	202
428	151	202
429	152	201
430	152	201
431	152	200
432	152	200
433	152	199
434	153	199
435	153	198
436	153	198
437	153	197
438	154	197
439	154	196
440	154	195
441	154	195
442	155	194
443	155	194
444	155	193
445	155	193
446	155	192
447	156	192
448	156	191
449	156	191
450	156	190
451	157	190
452	157	189
453	157	189
454	157	188
455	157	188
456	158	187
457	158	187
458	158	186
459	158	186
460	158	185
461	159	185
462	159	184
463	159	184
464	159	183
465	160	183
466	160	183
467	160	182
468	160	182
469	161	181
470	161	181
471	161	180
472	161	180
473	161	179
474	162	179
475	162	178
476	162	178
477	162	177
478	162	177
479	163	176
480	163	176
481	163	175
482	163	175
483	164	174
484	164	174
485	164	173
486	164	173
487	164	172
488	165	172
489	165	172
490	165	171
491	165	171
492	166	170
493	166	170
494	166	169
495	166	169
496	166	168
497	167	168
498	167	168
499	167	167
500	167	167
501	167	166
502	168	166
503	168	165
504	168	165
505	168	164
506	169	164
507	169	163
508	169	163
509	169	163
510	169	162
511	170	162
512	170	161
513	170	161
514	170	160
515	171	160
516	171	160
517	171	159
518	171	159
519	171	158
520	172	158
521	172	157
522	172	157
523	172	156
524	172	156
525	173	156
526	173	155
527	173	155
528	173	154
529	174	154
530	174	153
531	174	153
532	174	153
533	174	152
534	175	152
535	175	151
536	175	151
537	175	150
538	176	150
539	176	150
540	176	149
541	176	149
542	176	148
543	177	148
544	177	147
545	177	147
546	177	147
547	177	146
548	178	146
549	178	145
550	178	145
551	178	145
552	178	144
553	179	144
554	179	143
555	179	143
556	179	143
557	180	142
558	180	142
559	180	141
560	180	141
561	180	140
562	181	140
563	181	140
564	181	139
565	181	139
566	181	138
567	182	138
568	182	138
569	182	137
570	182	137
571	183	136
572	183	136
573	183	136
574	183	135
575	183	135
576	184	135
577	184	134
578	184	134
579	184	133
580	184	133
581	185	133
582	185	132
583	185	132
584	185	131
585	186	131
586	186	131
587	186	130
588	186	130
589	186	129
590	187	129
591	187	129
592	187	128
593	187	128
594	188	127
595	188	127
596	188	127
597	188	126
598	188	126
599	189	126
600	189	125
601	189	125
602	189	124
603	190	124
604	190	124
605	190	123
606	190	123
607	191	123
608	191	122
609	191	122
610	191	122
611	191	121
612	192	121
613	192	120
614	192	120
615	192	120
616	193	119
617	193	119
618	193	119
619	193	118
620	193	118
621	194	117
622	194	117
623	194	117
624	194	116
625	195	116
626	195	116
627	195	115
628	195	115
629	195	115
630	196	114
631	196	114
632	196	113
633	196	113
634	196	113
635	197	112
636	197	112
637	197	112
638	197	111
639	198	111
640	198	111
641	198	110
642	198	110
643	199	110
644	199	109
645	199	109
646	199	108
647	199	108
648	200	108
649	200	107
650	200	107
651	200	107
652	200	106
653	201	106
654	201	106
655	201	105
656	201	105
657	202	105
658	202	104
659	202	104
660	202	103
661	202	103
662	203	103
663	203	102
664	203	102
665	203	102
666	203	101
667	204	101
668	204	101
669	204	100
670	204	100
671	205	100
672	205	99
673	205	99
674	205	99
675	205	98
676	206	98
677	207	98
678	207	98
679	207	97
680	207	97
681	208	97
682	208	96
683	208	96
684	208	95
685	208	95
686	209	95
687	209	94
688	209	94
689	209	94
690	209	93
691	210	93
692	210	93
693	210	92
694	210	92
695	211	92
696	211	91
697	211	91
698	211	91
699	211	90
700	212	90
701	212	90
702	212	89
703	212	89
704	213	89
705	213	88
706	213	88
707	213	88
708	213	87
709	214	87
710	214	87
711	214	86
712	214	86
713	215	86
714	215	85
715	215	85
716	215	85
717	215	84
718	216	84
719	216	84
720	216	83
721	216	83
722	217	83
723	217	82
724	217	82
725	217	82
726	217	81
727	218	81
728	218	81
729	218	80
730	218	80
731	218	80
732	219	79
733	219	79
734	219	79
735	219	78
736	220	78
737	220	78
738	220	77
739	220	77
740	220	77
741	221	76
742	221	76
743	221	76
744	221	75
745	221	75
746	222	75
747	222	74
748	222	74
749	222	74
750	223	73
751	223	73
752	223	73
753	223	73
754	224	72
755	224	72
756	224	72
757	224	71
758	224	71
759	225	71
760	225	70
761	225	70
762	225	70
763	225	69
764	226	69
765	226	69
766	226	68
767	226	68
768	226	68
769	227	67
770	227	67
771	227	67
772	227	66
773	228	66
774	228	66
775	228	65
776	228	65
777	228	65
778	229	65
779	229	64
780	229	64
781	229	64
782	230	63
783	230	63
784	230	63
785	230	62
786	230	62
787	231	62
788	231	61
789	231	61
790	231	61
791	232	60
792	232	60
793	232	60
794	232	60
795	232	59
796	233	59
797	233	59
798	233	58
799	233	58
800	234	58
801	234	57
802	234	57
