iter	Passed	Remaining
0	56	56821
1	57	28508
2	57	19072
3	57	14342
4	57	11519
5	58	9625
6	58	8290
7	58	7276
8	58	6489
9	59	5849
10	59	5332
11	59	4902
12	59	4545
13	60	4231
14	60	3961
15	60	3722
16	60	3511
17	60	3326
18	61	3159
19	61	3008
20	61	2873
21	61	2751
22	62	2638
23	62	2534
24	62	2438
25	62	2351
26	63	2273
27	63	2196
28	63	2127
29	63	2061
30	63	1999
31	64	1942
32	64	1888
33	64	1839
34	65	1792
35	65	1747
36	65	1704
37	65	1664
38	65	1625
39	66	1590
40	66	1556
41	66	1522
42	66	1491
43	67	1462
44	67	1432
45	67	1405
46	68	1378
47	68	1353
48	68	1328
49	68	1304
50	68	1281
51	69	1259
52	69	1238
53	69	1217
54	69	1198
55	69	1179
56	70	1162
57	70	1146
58	70	1129
59	71	1113
60	71	1096
61	71	1081
62	71	1065
63	71	1052
64	72	1038
65	72	1024
66	72	1011
67	72	998
68	73	985
69	73	973
70	73	962
71	73	950
72	74	939
73	74	929
74	74	919
75	74	908
76	74	898
77	75	889
78	75	879
79	75	870
80	75	861
81	76	852
82	76	844
83	77	844
84	77	835
85	77	827
86	78	819
87	78	811
88	78	804
89	78	797
90	79	789
91	79	782
92	79	775
93	79	769
94	80	762
95	80	756
96	80	749
97	80	743
98	81	737
99	81	731
100	81	725
101	81	720
102	82	714
103	82	709
104	82	704
105	82	698
106	83	693
107	83	688
108	83	682
109	83	678
110	84	672
111	84	668
112	84	663
113	84	658
114	84	653
115	85	649
116	85	644
117	85	640
118	85	636
119	86	631
120	86	627
121	86	623
122	86	619
123	87	615
124	87	611
125	87	607
126	87	603
127	87	599
128	88	595
129	88	591
130	88	588
131	88	584
132	89	580
133	89	577
134	89	573
135	89	570
136	89	566
137	90	563
138	90	560
139	90	557
140	90	553
141	91	551
142	91	548
143	91	545
144	91	542
145	92	539
146	92	536
147	92	533
148	92	530
149	93	527
150	93	524
151	93	521
152	93	519
153	93	515
154	94	513
155	94	510
156	94	508
157	94	505
158	95	502
159	95	500
160	95	498
161	95	495
162	96	493
163	96	490
164	96	488
165	96	485
166	96	483
167	97	481
168	97	479
169	97	476
170	97	474
171	98	472
172	98	470
173	98	467
174	98	465
175	98	463
176	99	460
177	99	458
178	99	456
179	99	454
180	99	452
181	100	450
182	100	448
183	100	446
184	100	444
185	101	442
186	101	440
187	101	438
188	101	436
189	102	434
190	102	433
191	102	431
192	102	429
193	103	428
194	103	426
195	103	424
196	103	423
197	104	421
198	104	419
199	104	418
200	104	416
201	104	414
202	105	412
203	105	411
204	105	409
205	105	408
206	106	406
207	106	405
208	106	403
209	106	401
210	107	400
211	107	399
212	107	397
213	107	396
214	108	394
215	108	393
216	108	392
217	108	390
218	109	389
219	109	388
220	109	386
221	109	385
222	110	383
223	110	382
224	110	380
225	110	379
226	110	377
227	111	376
228	111	375
229	111	373
230	111	372
231	112	371
232	112	369
233	112	368
234	112	367
235	113	365
236	113	364
237	113	363
238	113	362
239	113	360
240	114	359
241	114	358
242	114	357
243	114	355
244	115	354
245	115	353
246	115	352
247	115	351
248	116	350
249	116	348
250	116	347
251	116	346
252	117	345
253	117	344
254	117	343
255	117	341
256	117	340
257	118	339
258	118	338
259	118	337
260	118	336
261	118	334
262	119	333
263	119	332
264	119	331
265	119	330
266	119	329
267	120	328
268	120	327
269	120	326
270	120	325
271	121	324
272	121	323
273	121	322
274	121	321
275	121	319
276	122	318
277	122	317
278	122	316
279	122	315
280	123	314
281	123	313
282	123	312
283	123	311
284	123	310
285	124	309
286	124	308
287	124	307
288	124	306
289	124	305
290	125	304
291	125	303
292	125	302
293	125	302
294	125	301
295	126	300
296	126	299
297	126	298
298	126	297
299	127	296
300	127	295
301	127	294
302	127	293
303	127	293
304	128	292
305	128	291
306	128	290
307	128	289
308	129	288
309	129	287
310	129	286
311	129	285
312	129	285
313	130	284
314	130	283
315	130	282
316	130	281
317	130	280
318	131	279
319	131	279
320	131	278
321	131	277
322	131	276
323	132	275
324	132	274
325	132	274
326	132	273
327	133	272
328	133	271
329	133	270
330	133	270
331	133	269
332	134	268
333	134	267
334	134	267
335	134	266
336	134	265
337	135	264
338	135	264
339	135	263
340	135	262
341	136	261
342	136	261
343	136	260
344	136	259
345	136	258
346	137	257
347	137	257
348	137	256
349	137	255
350	138	255
351	138	254
352	138	253
353	138	252
354	138	252
355	139	251
356	139	250
357	139	250
358	139	249
359	139	248
360	140	248
361	140	247
362	140	246
363	140	245
364	140	245
365	141	244
366	141	243
367	141	243
368	141	242
369	142	241
370	142	241
371	142	240
372	142	239
373	143	239
374	143	238
375	143	238
376	143	237
377	143	236
378	144	236
379	144	235
380	144	235
381	144	234
382	145	233
383	145	233
384	145	232
385	145	231
386	145	231
387	146	230
388	146	229
389	146	229
390	146	228
391	146	227
392	147	227
393	147	226
394	147	226
395	147	225
396	148	224
397	148	224
398	148	223
399	148	223
400	148	222
401	149	221
402	149	221
403	149	220
404	149	219
405	149	219
406	150	218
407	150	218
408	150	217
409	150	217
410	151	216
411	151	215
412	151	215
413	151	214
414	152	214
415	152	213
416	152	213
417	152	212
418	152	212
419	153	211
420	153	210
421	153	210
422	153	209
423	153	209
424	154	208
425	154	208
426	154	207
427	154	206
428	155	206
429	155	205
430	155	205
431	155	204
432	155	204
433	156	203
434	156	202
435	156	202
436	156	201
437	156	201
438	157	200
439	157	200
440	157	199
441	157	199
442	157	198
443	158	198
444	158	197
445	158	196
446	158	196
447	159	195
448	159	195
449	159	194
450	159	194
451	159	193
452	160	193
453	160	192
454	160	192
455	160	191
456	160	191
457	161	190
458	161	190
459	161	189
460	161	189
461	162	188
462	162	188
463	162	187
464	162	187
465	162	186
466	163	186
467	163	185
468	163	185
469	163	184
470	163	184
471	164	183
472	164	183
473	164	182
474	164	182
475	165	181
476	165	181
477	165	180
478	165	180
479	166	179
480	166	179
481	166	178
482	166	178
483	166	177
484	167	177
485	167	177
486	167	176
487	167	176
488	168	175
489	168	175
490	168	174
491	168	174
492	168	173
493	169	173
494	169	172
495	169	172
496	169	171
497	169	171
498	170	170
499	170	170
500	170	169
501	170	169
502	170	168
503	171	168
504	171	167
505	171	167
506	171	167
507	171	166
508	172	166
509	172	165
510	172	165
511	172	164
512	173	164
513	173	163
514	173	163
515	173	162
516	173	162
517	174	162
518	174	161
519	174	161
520	174	160
521	174	160
522	175	159
523	175	159
524	175	158
525	175	158
526	176	157
527	176	157
528	176	157
529	176	156
530	176	156
531	177	155
532	177	155
533	177	154
534	177	154
535	177	153
536	178	153
537	178	153
538	178	152
539	178	152
540	178	151
541	179	151
542	179	150
543	179	150
544	179	150
545	179	149
546	180	149
547	180	148
548	180	148
549	180	148
550	181	147
551	181	147
552	181	146
553	181	146
554	182	145
555	182	145
556	182	145
557	182	144
558	182	144
559	183	143
560	183	143
561	183	142
562	183	142
563	183	142
564	184	141
565	184	141
566	184	140
567	184	140
568	184	140
569	185	139
570	185	139
571	185	138
572	185	138
573	186	138
574	186	137
575	186	137
576	186	136
577	186	136
578	187	136
579	187	135
580	187	135
581	187	134
582	187	134
583	188	134
584	188	133
585	188	133
586	188	132
587	189	132
588	189	132
589	189	131
590	189	131
591	190	131
592	190	130
593	190	130
594	190	129
595	191	129
596	191	129
597	191	128
598	191	128
599	191	127
600	192	127
601	192	127
602	192	126
603	192	126
604	193	126
605	193	125
606	193	125
607	193	124
608	194	124
609	194	124
610	194	123
611	194	123
612	194	123
613	195	122
614	195	122
615	195	121
616	195	121
617	196	121
618	196	120
619	196	120
620	196	120
621	196	119
622	197	119
623	197	118
624	197	118
625	197	118
626	198	117
627	198	117
628	198	117
629	198	116
630	198	116
631	199	115
632	199	115
633	199	115
634	199	114
635	199	114
636	200	114
637	200	113
638	200	113
639	200	112
640	200	112
641	201	112
642	201	111
643	201	111
644	201	111
645	202	110
646	202	110
647	202	109
648	202	109
649	202	109
650	203	108
651	203	108
652	203	108
653	203	107
654	204	107
655	204	107
656	204	106
657	204	106
658	205	106
659	205	105
660	205	105
661	205	105
662	205	104
663	206	104
664	206	103
665	206	103
666	206	103
667	207	102
668	207	102
669	207	102
670	207	101
671	207	101
672	208	101
673	208	100
674	208	100
675	208	100
676	209	99
677	209	99
